You had your first kiss , 1, 0, -4, 0,
You swear regularly , 0, .5, 0, -.5,
You played spin the bottle , 1, 0, 0, 0,
You've made out with tounge , 2, 0, -2, 0,
Someone else has sucked your fingers (sexually) , 2, 0, -1, 0,
You have touched or been touched by someone sexually , 1, 0, -7, 0,
You've been bitten or bit someone else (sexually) , 1.5, 0.5, 0, 0,
You've had any type of sexual interaction , 3, 0, -3, 0,
You are a virgin , -6, 0, .5, 0,
You've masturbated , .5, 0, -5, 0,
You've been caught masturbating , .5, 1, 0, 0,
You've masturbated looking at yourself in the mirror , 1, 0, -2, 0,
You've had/given handjob to someone else , 2, 0, -2, 0,
You've had intercourse (penatration) , 2, 0, -2, 0,
You've showered with someone your intrested in , 2, 0, -.5, 0,
You've kicked someone out to have sex` or warned someone that you were having sex to be alone , 1, 0, 0, 0,
You've smoked weed ever , 0, 2, 0, -2,
You've been drunk ever , 0, 3, 0, -3,
You've been involved in a drinking game , 0, 3, 0, -1,
Faked sobriety to avoid getting in trouble , 0, 1, 0, 0,
Smoked nicotine , 0, 1.5, 0, 0,
Smoked cigarettes , 0, 2.5, 0, 0,
Had memory loss due to substances , 0, 4, 0, 0,
You've had/given a hickey , 2, 0, 0, 0,
Swallowed cum or other sexual fluids , 4, 0, -4, 0,
You've slept like a homeless person for at least one night , 0, 4, 0, -1,
You've been crossed (High + Drunk) , 0, 3.9, 0, -3,
You've tripped on shrooms , 0, 6, 0, -1,
You've been in a serious physical fight , .05, 7, 0, -.5,
You've had sexual thoughts about sammy , 0, 0, 0, 0,
You've had some sort sex in a car , 3, 3, -1, -1,
You've had some sort of sex outside , 3, 3, 0, 0,
You've used a glory hole without knowing who was on the other side , 6, 7, -1, -2,
You've been drunk in public , 0, 2, 0, -3,
You've broken into anywhere illegally , 0, 3, 0, -3,
You've almost crashed while driving and listening to WAP/tokio drift/I will survive/etc , 0, 4, 0, -2,
You've played a strip game , 4, 0.5, -4, -1,
You've legitimetly considered suicide , 0, 2, 0, 0,
You've gotten caught by` or had to run from the police , 0, 2, 0, -2,
You've sent sexts , 2, 0.5, -2, -.5,
You've sent nudes , 3, 3, -3, -2,
You held someone at gunpoint (life threatening) , 0, 15, 0, 0,
You've skinny dipped in public , 3, 3, -3, -1,
You've stolen something small (e.g.` candy` pen) , 0, 0, 0, -5,
Committed any type of vandalism , 0, 1, 0, -2,
You've watched porn , .5, 0, -1, 0,
You've watched porn in public , 2, 0, 0, 0,
You've watched porn in a classroom , 4, 4, 0, 0,
You've had sex with someone who was already in a relationship with someone else , 4, 4, 0, 0,
You've had a sexual fantasy or desire that involved non-consensual or dangerous behavior? , 2, 3, 0, 0,
You went streaking , 2, 4, 0, 0,
You had sex in a body of water , 3, 0, 0, 0,
Had sex with a virgin , 1, 0, 0, 0,
Had sex with a person who is under 18 , 3, 1, -1, 0,
You had multiple types of sex more than 10 times , 4, 0, 0, 0,
You went to a strip club , .5, 0, 0, 0,
You've had sex with a stranger or someone you met very recently , 5, 0, 0, 0,
You have had some sort of sex with a being of a different species , 12, 18, 0, 0,
You've had sex with more than one person in the same day , 3, 0, -1, 0,
You've had any type of sex while intoxicated , 3, 4, 0, 0,
You've had unprotected sex , 2, 3, -1, 0,
You've had a threesome , 3, 0, -.5, 0,
You've had sex involving more than 3 people , 3, 0, 0, 0,
You've had an STI scare , 1, 2, 0, 0,
You've had a pregnancy scare , 1, 2, 0, 0,
You've done incest ,7, 7, 0, 0,
You've been payed for sex ,4, 0, 0, 0,
You like to engage in BDSM` ropes` cages` restraints` etc. ,4, .5, 0, 0,
You've crashed a car and had to go to the hospital ,0, 6, 0, 0,
You've crashed a car and had to go to the hospital while intoxicated ,0, 6, 0, 0,
You've been taken to jail ,0, 7, 0, 0,
You've bought someone discord nitro , -3, 0, 0, 0,
You've chlorine gassed someone house and it doesn't kill anybody , 0, 2.5, 0, 0,
You wash your hair with bar soap , -.5, 0, 0, 0,
You wear shower shoes in public showers , -.5, 0, 0, 1,
You've worn toe socks , 0, 0.5, 0, 0,
You've been involved in a riot , 0, 6, 0, 0,
You've rizzed up a porn star , 4, 0, 0, 0,
You've done meth for non medicinal purposes intentionally , 0, 6, 0, 0,
You've done cocaine intentionally , 0, 5, 0, 0,
You've done heroin or horse tranquilizers intentionally , 0, 11, 0, 0,
You've done fentanyl intentionally , 0, 15, 0, 0,
You've committed arson with potential for significant jailtime , 0, 22, 0, 0,
You've committed murder , 4, 100, 0, 0,
You've committed murder via orgasm (cum kills) , 400, 100, 0, 0,
You've committed rape , 12, 13, 0, 0,
You have a foot fetish or have participated in someones foot fetish , 2, 0, -.5, 0,
You've done butt stuff ,2.5, 0, -.5, 0,
You've engaged in furry sexy stuff , 4, 0, 0, 0,
You've engaged in watersports or other forms of urolagnia? , 4, 0, 0, 0,
You've done multiple sex positions in one session , 2, 0, 0, 0,
You are queer , 0, 0, 0, 0,
You use ASMR for sexual reasons , 1, 0, 0, 0,
You've used emojis with a skintone that does not corelate with your own (yellow doesn't count) , 0, 0, 0, 0,
You've said slurs that are not pointed at yourself , 0, 1, 0, -1,
You've engaged in puke sex , 4, 2, 0, 0,
You've shit on someone else or they have shit on you , 4, 2, 0, 0,
You've engaged in period sex , 4, 0, 0, 0,
You have said uwu or owo unironically , .5, .5, 0, 0,
You were comfortable taking this test , 1, 1, -1, -1,
 , 1, 1, 1, 1,
